fen,move
rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,Nc6
r1bqkbnr/pppp1ppp/2n5/4p3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 2 3,Nf6
r1bqkb1r/pppp1ppp/2n2n2/4p3/4PP2/3P1N2/PPP3PP/RNBQKB1R b KQkq - 0 4,d6
r1bqkb1r/ppp2ppp/2np1n2/4p3/4PP2/2NP1N2/PPP3PP/R1BQKB1R b KQkq - 1 5,Be6
r2qkb1r/ppp2ppp/2npbn2/4pP2/4P3/2NP1N2/PPP3PP/R1BQKB1R b KQkq - 0 6,Bd7
r2qkb1r/pppb1ppp/2np1n2/4pP2/3PP3/2N2N2/PPP3PP/R1BQKB1R b KQkq - 0 7,g6
r2qkb1r/pppb1p1p/2np1np1/4PP2/4P3/2N2N2/PPP3PP/R1BQKB1R b KQkq - 0 8,Nxe5
r2qkb1r/pppb1p1p/3p1np1/4nP2/4P3/1PN2N2/P1P3PP/R1BQKB1R b KQkq - 0 9,Bg7
r2qk2r/pppb1pbp/3p1np1/4nP2/4P3/1PN2N2/PBP3PP/R2QKB1R b KQkq - 2 10,O-O
r2q1rk1/pppb1pbp/3p1np1/4NP2/4P3/1PN5/PBP3PP/R2QKB1R b KQ - 0 11,dxe5
r2q1rk1/pppb1pbp/5np1/4pP2/4P3/1PN2Q2/PBP3PP/R3KB1R b KQ - 1 12,Bc6
r2q1rk1/ppp2pbp/2b2np1/4pP2/4P3/1PNB1Q2/PBP3PP/R3K2R b KQ - 3 13,a6
r2q1rk1/1pp2pbp/p1b2np1/4pP2/4P3/1PNB1Q2/PBP3PP/2KR3R b - - 1 14,Qe7
r4rk1/1pp1qpbp/p1b2np1/4pP2/4P1P1/1PNB1Q2/PBP4P/2KR3R b - - 0 15,b5
r4rk1/2p1qpbp/p1b2np1/1p2pP2/4P1PP/1PNB1Q2/PBP5/2KR3R b - - 0 16,b4
r4rk1/2p1qpbp/p1b2np1/4pP2/1p2P1PP/1P1B1Q2/PBP1N3/2KR3R b - - 1 17,Rfb8
rr4k1/2p1qpbp/p1b2np1/4pP2/1p2P1PP/1P1B1QN1/PBP5/2KR3R b - - 3 18,a5
rr4k1/2p1qpbp/2b2np1/p3pPP1/1p2P2P/1P1B1QN1/PBP5/2KR3R b - - 0 19,a4
rr4k1/2p1qpbp/2b2Pp1/4pP2/pp2P2P/1P1B1QN1/PBP5/2KR3R b - - 0 20,Bxf6
rr4k1/2p1qp1p/2b2bP1/4p3/pp2P2P/1P1B1QN1/PBP5/2KR3R b - - 0 21,axb3
rr4k1/2p1qP1p/2b2b2/4p3/1p2P2P/1p1B1QN1/PBP5/2KR3R b - - 0 22,Qxf7
rr4k1/2p2q1p/2b2b2/4p3/1p2P2P/1P1B1QN1/PB6/2KR3R b - - 0 23,Rxa2
1r4k1/2p2q1p/2b2b2/4p3/1pB1P2P/1P3QN1/rB6/2KR3R b - - 1 24,Qxc4+
1r4k1/2p4p/2b2b2/4p3/1pP1P2P/5QN1/rB6/2KR3R b - - 0 25,Bg7
1r4k1/2p3bp/2b5/4p3/1pP1P2P/1Q4N1/rB6/2KR3R b - - 2 26,Bh6+
1r4k1/2p4p/2b4b/4p3/1pP1P2P/1Q4N1/rBK5/3R3R b - - 4 27,Ra4
1r4k1/2p4p/2b4b/2P1p3/rp2P2P/1Q4N1/1BK5/3R3R b - - 0 28,Kg7
1r6/2p3kp/2b4b/2P1B3/rp2P2P/1Q4N1/2K5/3R3R b - - 0 29,Kf8
1r3k2/2p4p/2b4b/2P1B3/rp2P2P/1Q4N1/2K5/3R1R2 b - - 2 30,Ke7
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,Nf3
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,d4
r1bqkbnr/ppp1pppp/2n5/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 1 3,Bf4
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 3 4,e3
r1bqkb1r/ppp2ppp/2n2n2/3pp3/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 5,dxe5
r2qkb1r/ppp2ppp/2n2n2/3pP3/5Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 6,Be2
r2qkb1r/ppp2ppp/2n5/3pP2n/5Bb1/4PN2/PPP1BPPP/RN1QK2R w KQkq - 3 7,h3
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,d5
rnbqkbnr/ppp1pppp/8/3pP3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,c5
rnbqkbnr/pp2pppp/8/2ppP3/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 3,Bg4
rn1qkbnr/pp2pppp/8/2ppP3/6b1/5N2/PPPPBPPP/RNBQK2R b KQkq - 3 4,e6
rn1qkbnr/pp3ppp/4p3/2ppP3/6b1/2P2N2/PP1PBPPP/RNBQK2R b KQkq - 0 5,c4
rn1qkbnr/pp3ppp/4p3/3pP3/2p3b1/2PP1N2/PP2BPPP/RNBQK2R b KQkq - 0 6,Nh6
rn1qkb1r/pp3ppp/4p2n/3pP3/2P3b1/2P2N2/PP2BPPP/RNBQK2R b KQkq - 0 7,dxc4
rn1qkb1r/pp3ppp/4p2n/4P3/Q1p3b1/2P2N2/PP2BPPP/RNB1K2R b KQkq - 1 8,Qd7
rn2kb1r/pp1q1ppp/4p2n/4P3/2Q3b1/2P2N2/PP2BPPP/RNB1K2R b KQkq - 0 9,b5
rn2kb1r/p2q1ppp/4p2n/1p2P3/6b1/1QP2N2/PP2BPPP/RNB1K2R b KQkq - 1 10,Nf5
rn2kb1r/p2q1ppp/4p3/1B2Pn2/6b1/1QP2N2/PP3PPP/RNB1K2R b KQkq - 0 11,Nc6
r3kb1r/p2q1ppp/2n1p3/1B2Pn2/Q5b1/2P2N2/PP3PPP/RNB1K2R b KQkq - 2 12,Rc8
2r1kb1r/p2q1ppp/2n1p3/1B2Pn2/Q5b1/2P2N2/PP3PPP/RNB2RK1 b k - 4 13,Bc5
2r1k2r/p2q1ppp/2n1p3/1Bb1Pn2/6Q1/2P2N2/PP3PPP/RNB2RK1 b k - 0 14,O-O
2r2rk1/p2q1ppp/2B1p3/2b1Pn2/6Q1/2P2N2/PP3PPP/RNB2RK1 b - - 0 15,Qxc6
2r2rk1/p4ppp/2q1p3/2b1Pn1Q/8/2P2N2/PP3PPP/RNB2RK1 b - - 1 16,g6
2r2rk1/p4p1p/2q1p1p1/2b1Pn2/6Q1/2P2N2/PP3PPP/RNB2RK1 b - - 1 17,Rc7
5rk1/p1r2p1p/2q1p1p1/2b1Pn2/6QN/2P5/PP3PPP/RNB2RK1 b - - 3 18,Nxh4
5rk1/p1r2p1p/2q1p1p1/2b1P3/7Q/2P5/PP3PPP/RNB2RK1 b - - 0 19,Rd8
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d4
rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,dxe5
r1bqkbnr/pppp1ppp/2n5/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3,Nf3
r1bqkbnr/ppp2ppp/2n5/3pP3/8/5N2/PPP1PPPP/RNBQKB1R w KQkq d6 0 4,exd6
r1bqk1nr/ppp2ppp/2nb4/8/8/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 5,Bg5
r1bqk1nr/ppp3pp/2nb1p2/6B1/8/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 6,Bh4
r2qk1nr/ppp3pp/2nb1p2/5b2/7B/5N2/PPP1PPPP/RN1QKB1R w KQkq - 2 7,Na3
r2qk1nr/ppp4p/2nb1p2/5bp1/7B/N4N2/PPP1PPPP/R2QKB1R w KQkq - 0 8,Bg3
r2qk1nr/ppp4p/2n2p2/5bp1/8/N4Nb1/PPP1PPPP/R2QKB1R w KQkq - 0 9,hxg3
r2qk2r/ppp1n2p/2n2p2/5bp1/8/N4NP1/PPP1PPP1/R2QKB1R w KQkq - 1 10,Qxd8+
r2nk2r/ppp1n2p/5p2/5bp1/8/N4NP1/PPP1PPP1/R3KB1R w KQkq - 0 11,O-O-O
r3k2r/ppp1n2p/2n2p2/5bp1/8/N4NP1/PPP1PPP1/2KR1B1R w kq - 2 12,e3
r3k2r/ppp1n2p/5p2/5bp1/1n6/N3PNP1/PPP2PP1/2KR1B1R w kq - 1 13,Kb1
r3k2r/pppbn2p/5p2/6p1/1n6/N3PNP1/PPP2PP1/1K1R1B1R w kq - 3 14,Rh6
r3k2r/pppb3p/5pnR/6p1/1n6/N3PNP1/PPP2PP1/1K1R1B2 w kq - 5 15,Bd3
r3k2r/pppb3p/5pnR/6p1/8/N2nPNP1/PPP2PP1/1K1R4 w kq - 0 16,Rxd3
2kr3r/pppb3p/5pnR/6p1/8/N2RPNP1/PPP2PP1/1K6 w - - 1 17,e4
2kr3r/ppp4p/5pnR/6p1/4P1b1/N2R1NP1/PPP2PP1/1K6 w - - 1 18,Rxd8+
3k3r/ppp4p/5pnR/6p1/4P1b1/N4NP1/PPP2PP1/1K6 w - - 0 19,Nd4
2k4r/ppp4p/5pnR/6p1/3NP1b1/N5P1/PPP2PP1/1K6 w - - 2 20,f3
2k4r/pppb3p/5pnR/6p1/3NP3/N4PP1/PPP3P1/1K6 w - - 1 21,Nab5
2k4r/1ppb3p/p4pnR/1N4p1/3NP3/5PP1/PPP3P1/1K6 w - - 0 22,Nc3
2k4r/1p1b3p/p1p2pnR/6p1/3NP3/2N2PP1/PPP3P1/1K6 w - - 0 23,Na4
2k4r/3b3p/p1p2pnR/1p4p1/N2NP3/5PP1/PPP3P1/1K6 w - - 0 24,Nb6+
7r/2kb3p/pNp2pnR/1p4p1/3NP3/5PP1/PPP3P1/1K6 w - - 2 25,Nxd7
7r/3k3p/p1p2pnR/1p4p1/3NP3/5PP1/PPP3P1/1K6 w - - 0 26,Ne2
7r/2k4p/p1p2pnR/1p4p1/4P3/5PP1/PPP1N1P1/1K6 w - - 2 27,f4
7r/2k4p/p1p2pnR/1p6/4Pp2/6P1/PPP1N1P1/1K6 w - - 0 28,gxf4
7r/3k3p/p1p2pnR/1p6/4PP2/8/PPP1N1P1/1K6 w - - 1 29,f5
7r/3k3p/p1p2p1R/1p2nP2/4P3/8/PPP1N1P1/1K6 w - - 1 30,Rxf6
7r/3k3p/p1p2R2/1p3P2/4P1n1/8/PPP1N1P1/1K6 w - - 1 31,Re6
5r2/3k3p/p1p1R3/1p3P2/4P1n1/8/PPP1N1P1/1K6 w - - 3 32,Nd4
5r2/3k4/p1p1R3/1p3P1p/3NP1n1/8/PPP3P1/1K6 w - - 0 33,e5
5r2/3k4/p3R3/1pp1PP1p/3N2n1/8/PPP3P1/1K6 w - - 0 34,Rd6+
5r2/4k3/p2R4/1pp1PP1p/3N2n1/8/PPP3P1/1K6 w - - 2 35,Nc6+
5r2/5k2/p1NR4/1pp1PP1p/6n1/8/PPP3P1/1K6 w - - 4 36,e6+
5rk1/8/p1NRP3/1pp2P1p/6n1/8/PPP3P1/1K6 w - - 1 37,e7
4r1k1/4P3/p1NR4/1pp2P1p/6n1/8/PPP3P1/1K6 w - - 1 38,Rd8
3Rr3/4Pk2/p1N5/1pp2P1p/6n1/8/PPP3P1/1K6 w - - 3 39,Rxe8
4k3/4P3/p1N5/1pp2P1p/6n1/8/PPP3P1/1K6 w - - 0 40,Kc1
