fen,move
7b/4k3/1p5P/p1p2pPB/3p1P2/P2P4/1PP3K1/8 b - - 2 40,Kf8
5k1b/8/1p4BP/p1p2pP1/3p1P2/P2P4/1PP3K1/8 b - - 4 41,Bf6
5k2/8/1p3PBP/p1p2p2/3p1P2/P2P4/1PP3K1/8 b - - 0 42,Kg8
6k1/8/1p3P1P/p1p2B2/3p1P2/P2P4/1PP3K1/8 b - - 0 43,Kf7
8/5k1P/1p3P2/p1p2B2/3p1P2/P2P4/1PP3K1/8 b - - 0 44,Kf8
5k1Q/8/1p3P2/p1p2B2/3p1P2/P2P4/1PP3K1/8 b - - 0 45,Kf7
8/5kQ1/1p3P2/p1p2B2/3p1P2/P2P4/1PP3K1/8 b - - 2 46,Ke8
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Bc4
rn1qkbnr/ppp2ppp/3pb3/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,Bxe6
rn1qkbnr/ppp3pp/3pp3/4p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5,c3
r2qkbnr/ppp3pp/2npp3/4p3/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 6,d4
r2qkbnr/ppp3pp/2npp3/8/3pP3/2P2N2/PP3PPP/RNBQK2R w KQkq - 0 7,cxd4
r2qkbnr/ppp3pp/2n1p3/3p4/3PP3/5N2/PP3PPP/RNBQK2R w KQkq - 0 8,exd5
r3kbnr/ppp3pp/2n1p3/3q4/3P4/5N2/PP3PPP/RNBQK2R w KQkq - 0 9,Nc3
r3kbnr/ppp3pp/2nqp3/8/3P4/2N2N2/PP3PPP/R1BQK2R w KQkq - 2 10,g3
2kr1bnr/ppp3pp/2nqp3/8/3P4/2N2NP1/PP3P1P/R1BQK2R w KQ - 1 11,Bf4
2kr1bnr/ppp3pp/2nq4/4p3/3P1B2/2N2NP1/PP3P1P/R2QK2R w KQ - 0 12,dxe5
2kr1bnr/ppp3pp/2n5/4P3/5B2/2N2NP1/PP3P1P/R2qK2R w KQ - 0 13,Rxd1
2kr2nr/ppp3pp/2n5/4P3/1b3B2/2N2NP1/PP3P1P/3RK2R w K - 1 14,a3
2k3nr/ppp3pp/2n5/4P3/1b3B2/P1N2NP1/1P3P1P/3rK2R w K - 0 15,Kxd1
2k3nr/ppp3pp/2n5/4P3/5B2/P1b2NP1/1P3P1P/3K3R w - - 0 16,bxc3
2k4r/ppp1n1pp/2n5/4P3/5B2/P1P2NP1/5P1P/3K3R w - - 1 17,Kc2
2k4r/ppp3pp/2n5/3nP3/5B2/P1P2NP1/2K2P1P/7R w - - 3 18,Re1
2k2r2/ppp3pp/2n5/3nP3/5B2/P1P2NP1/2K2P1P/4R3 w - - 5 19,Re4
2k2r2/ppp3p1/2n4p/3nP3/4RB2/P1P2NP1/2K2P1P/8 w - - 0 20,e6
2k2r2/ppp5/2n1P2p/3n2p1/4RB2/P1P2NP1/2K2P1P/8 w - - 0 21,Bxg5
2k2r2/ppp5/2n1P3/3n2p1/4R3/P1P2NP1/2K2P1P/8 w - - 0 22,Nxg5
2k5/ppp5/2n1P3/3n2N1/4R3/P1P3P1/2K2r1P/8 w - - 0 23,Kb3
2k5/ppp5/2n1P3/3n2N1/4R3/PKP3P1/7r/8 w - - 0 24,e7
2k5/ppp1n3/8/3n2N1/4R3/PKP3P1/7r/8 w - - 0 25,c4
2k5/ppp1n3/8/3n2N1/2P1R3/PK4P1/6r1/8 w - - 1 26,cxd5
2k5/ppp1n3/8/3P2N1/4R3/PK4r1/8/8 w - - 0 27,Kc4
2k5/ppp5/8/3n2N1/2K1R3/P5r1/8/8 w - - 0 28,Re8+
4R3/pppk4/8/3n2N1/2K5/P5r1/8/8 w - - 2 29,Re5
8/pppk4/1n6/4R1N1/2K5/P5r1/8/8 w - - 4 30,Kd4
8/pp1k4/1np5/4R1N1/3K4/P5r1/8/8 w - - 0 31,Nf7
8/pp1k1N2/1np5/4R3/3K4/r7/8/8 w - - 0 32,Ke4
8/pp1k1N2/1np5/4R3/r3K3/8/8/8 w - - 2 33,Kf5
8/pp1k1N2/2p5/3nRK2/r7/8/8/8 w - - 4 34,Nd6
8/pp1k4/2pN4/3nRK2/5r2/8/8/8 w - - 6 35,Kg5
8/pp6/2pk4/3nR1K1/5r2/8/8/8 w - - 0 36,Rf5
8/pp6/2pk4/3n1rK1/8/8/8/8 w - - 0 37,Kxf5
8/p7/2pk4/1p1n1K2/8/8/8/8 w - - 0 38,Kg6
8/8/2pk2K1/pp1n4/8/8/8/8 w - - 0 39,Kf7
8/5K2/2pk4/1p1n4/p7/8/8/8 w - - 0 40,Kg6
8/8/2pk2K1/1p1n4/8/p7/8/8 w - - 0 41,Kh7
8/7K/2pk4/1p1n4/8/8/p7/8 w - - 0 42,Kg8
6K1/8/2pk4/1p1n4/8/8/8/q7 w - - 0 43,Kf7
8/5K2/2pk4/3n4/1p6/8/8/q7 w - - 0 44,Kg6
8/8/2pk2K1/3n4/8/1p6/8/q7 w - - 0 45,Kh5
8/8/2pk4/3n3K/8/8/1p6/q7 w - - 0 46,Kg4
8/8/2pk4/3n4/6K1/8/8/qq6 w - - 0 47,Kh5
8/8/3k4/2pn3K/8/8/8/qq6 w - - 0 48,Kh6
8/8/3k3K/3n4/2p5/8/8/qq6 w - - 0 49,Kh5
8/8/3k4/3n3K/8/2p5/8/qq6 w - - 0 50,Kh6
8/8/3k3K/3n4/8/8/2p5/qq6 w - - 0 51,Kh5
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g6
rnbqkbnr/pppppp1p/6p1/8/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,Bg7
rnbqk1nr/ppppppbp/6p1/8/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 2 3,Nf6
rnbqk2r/ppppppbp/5np1/8/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq - 0 4,O-O
rnbq1rk1/ppppppbp/5np1/8/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b - - 2 5,e6
rnbq1rk1/pppp1pbp/4pnp1/8/3P4/5NP1/PPP1PPBP/RNBQR1K1 b - - 1 6,d5
rnbq1rk1/ppp2pbp/4pnp1/3p4/3P4/5NP1/PPPNPPBP/R1BQR1K1 b - - 1 7,Nbd7
r1bq1rk1/pppn1pbp/4pnp1/3p4/3PP3/5NP1/PPPN1PBP/R1BQR1K1 b - - 0 8,c5
r1bq1rk1/pp1n1pbp/4pnp1/2ppP3/3P4/5NP1/PPPN1PBP/R1BQR1K1 b - - 0 9,Ne8
r1bqnrk1/pp1n1pbp/4p1p1/2ppP3/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 b - - 0 10,cxd4
r1bqnrk1/pp1n1pbp/4p1p1/3pP3/3P4/5NP1/PP1N1PBP/R1BQR1K1 b - - 0 11,f6
r1bqnrk1/pp1n2bp/4ppp1/3pP3/3P4/1N3NP1/PP3PBP/R1BQR1K1 b - - 1 12,Nc7
r1bq1rk1/ppnn2bp/4pPp1/3p4/3P4/1N3NP1/PP3PBP/R1BQR1K1 b - - 0 13,Nxf6
r1bq1rk1/ppn3bp/4pnp1/3p2B1/3P4/1N3NP1/PP3PBP/R2QR1K1 b - - 1 14,b6
r1bq1rk1/p1n3bp/1p2pnp1/3p2B1/3P4/1N3NP1/PP3PBP/2RQR1K1 b - - 1 15,Bb7
r2q1rk1/pbn3bp/1p2pnp1/3pN1B1/3P4/1N4P1/PP3PBP/2RQR1K1 b - - 3 16,Rc8
2rq1rk1/pbn3bp/1p2pBp1/3pN3/3P4/1N4P1/PP3PBP/2RQR1K1 b - - 0 17,Bxf6
2rq1rk1/pbn4p/1p2pbp1/3pN3/3P2Q1/1N4P1/PP3PBP/2R1R1K1 b - - 1 18,Qe7
2r2rk1/pbn1q2p/1p2pbp1/3pN3/3P2Q1/6P1/PP1N1PBP/2R1R1K1 b - - 3 19,Ne8
2r1nrk1/pb2q2p/1p2pbp1/3pN3/3P2Q1/5NP1/PP3PBP/2R1R1K1 b - - 5 20,Ng7
2R2rk1/pb2q1np/1p2pbp1/3pN3/3P2Q1/5NP1/PP3PBP/4R1K1 b - - 0 21,Rxc8
2r3k1/pb2q1np/1p2pbp1/3p4/3P2Q1/3N1NP1/PP3PBP/4R1K1 b - - 1 22,h5
2r3k1/pb2q1n1/1p2pbp1/3p3p/3P1Q2/3N1NP1/PP3PBP/4R1K1 b - - 1 23,Rf8
5rk1/pb2q1n1/1p2pbpQ/3p3p/3P4/3N1NP1/PP3PBP/4R1K1 b - - 3 24,Nf5
5rk1/pb2q3/1p2pbQ1/3p1n1p/3P4/3N1NP1/PP3PBP/4R1K1 b - - 0 25,Bg7
5rk1/pb2q1b1/1p2p3/3p1n1Q/3P4/3N1NP1/PP3PBP/4R1K1 b - - 0 26,Nh6
5rk1/pb2q1b1/1p2p1Qn/3p4/3P4/3N1NP1/PP3PBP/4R1K1 b - - 2 27,Qf7
5rk1/pb3qb1/1p2Q2n/3p4/3P4/3N1NP1/PP3PBP/4R1K1 b - - 0 28,Qxe6
5rk1/pb4b1/1p2R2n/3p4/3P4/3N1NP1/PP3PBP/6K1 b - - 0 29,Bc8
2b2rk1/p5b1/1p1R3n/3p4/3P4/3N1NP1/PP3PBP/6K1 b - - 2 30,Be6
5rk1/p5b1/1p2R2n/3p4/3P4/3N1NP1/PP3PBP/6K1 b - - 0 31,Nf5
5rk1/p5b1/1p2R3/3pNn2/3P4/5NP1/PP3PBP/6K1 b - - 2 32,Bxe5
5rk1/p7/1p2R3/3pNn2/3P4/6P1/PP3PBP/6K1 b - - 0 33,Nxd4
5rk1/p7/1p4R1/3pN3/3n4/6P1/PP3PBP/6K1 b - - 1 34,Kh8
5r1k/p7/1p4R1/3BN3/3n4/6P1/PP3P1P/6K1 b - - 0 35,Re8
4r2k/p4N2/1p4R1/3B4/3n4/6P1/PP3P1P/6K1 b - - 2 36,Kh7
4r3/p4N1k/1p5R/3B4/3n4/6P1/PP3P1P/6K1 b - - 4 37,Kg7
4r3/p4Nk1/1p6/3B4/3n3R/6P1/PP3P1P/6K1 b - - 6 38,Re1+
8/p4Nk1/1p6/3B4/3n3R/6P1/PP3PKP/4r3 b - - 8 39,Re8
4r3/p4Nk1/1p6/3B4/3R4/6P1/PP3PKP/8 b - - 0 40,Kf6
4r3/p4N2/1p3k2/3B4/4R3/6P1/PP3PKP/8 b - - 2 41,Rxe4
8/p4N2/1p3k2/8/4B3/6P1/PP3PKP/8 b - - 0 42,Kxf7
8/p4k2/1p6/8/4B2P/6P1/PP3PK1/8 b - - 0 43,Ke6
8/p7/1p2k3/7P/4B3/6P1/PP3PK1/8 b - - 0 44,Ke5
8/p7/1p6/4k2P/4B3/5KP1/PP3P2/8 b - - 2 45,Kd4
8/p7/1p5P/8/3kB3/5KP1/PP3P2/8 b - - 0 46,Kc5
8/p6P/1p6/2k5/4B3/5KP1/PP3P2/8 b - - 0 47,Kb4
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c5
rnbqkbnr/pp1ppppp/8/2p5/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,Nc6
r1bqkbnr/pp1ppppp/2n5/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 2 3,g6
r1bqkbnr/pp1ppp1p/2n3p1/2p5/4PP2/3P1N2/PPP3PP/RNBQKB1R b KQkq - 0 4,Bg7
r1bqk1nr/pp1pppbp/2n3p1/2p5/4PP2/3P1N2/PPP1B1PP/RNBQK2R b KQkq - 2 5,Nf6
r1bqk2r/pp1pppbp/2n2np1/2p5/4PP2/3P1N2/PPP1B1PP/RNBQ1RK1 b kq - 4 6,Kf8
r1bq1k1r/pp1pppbp/2n2np1/2p5/4PP2/2NP1N2/PPP1B1PP/R1BQ1RK1 b - - 6 7,d5
r1bq1k1r/pp2ppbp/2n2np1/2pp4/4PP2/2NP1N2/PPP1B1PP/R1BQ1R1K b - - 1 8,d4
r1bq1k1r/pp2ppbp/2n2np1/2p5/3pPP2/3P1N2/PPP1B1PP/RNBQ1R1K b - - 1 9,Bg4
r2q1k1r/pp2ppbp/2n2np1/2p5/3pPPb1/3P1N2/PPP1B1PP/RNB1QR1K b - - 3 10,Qb6
r4k1r/pp2ppbp/1qn2np1/2p5/3pPPb1/1P1P1N2/P1P1B1PP/RNB1QR1K b - - 0 11,a6
r4k1r/1p2ppbp/pqn2np1/2p5/3pPPb1/1P1P1N2/P1PNB1PP/R1B1QR1K b - - 1 12,Rc8
2r2k1r/1p2ppbp/pqn2np1/2p1P3/3p1Pb1/1P1P1N2/P1PNB1PP/R1B1QR1K b - - 0 13,Nd7
2r2k1r/1p1nppbp/pqn3p1/2p1P3/3pNPb1/1P1P1N2/P1P1B1PP/R1B1QR1K b - - 2 14,e6
2r2k1r/1p1n1pbp/pqn1p1p1/2p1P3/3pNPb1/1P1P1N2/P1PBB1PP/R3QR1K b - - 1 15,f6
2r2k1r/1p1n2bp/pqn1pPp1/2p5/3pNPb1/1P1P1N2/P1PBB1PP/R3QR1K b - - 0 16,Nxf6
2r2k1r/1p4bp/pqn1pnp1/2p5/3pNPb1/1P1P1NQ1/P1PBB1PP/R4R1K b - - 1 17,Nxe4
2r2k1r/1p4bp/pqn1p1p1/2p5/3pPPb1/1P3NQ1/P1PBB1PP/R4R1K b - - 0 18,Bxf3
2r2k1r/1p4bp/pqn1p1p1/2p5/3pPP2/1P3BQ1/P1PB2PP/R4R1K b - - 0 19,Kf7
2r4r/1p3kbp/pqn1p1p1/2p2P2/3pP3/1P3BQ1/P1PB2PP/R4R1K b - - 0 20,Rhe8
2r1r3/1p3kbp/pqn1p1P1/2p5/3pP3/1P3BQ1/P1PB2PP/R4R1K b - - 0 21,hxg6
2r1r3/1p3kb1/pqn1p1p1/2p4B/3pP3/1P4Q1/P1PB2PP/R4R1K b - - 1 22,Kg8
2r1r1k1/1p4b1/pqn1p1B1/2p5/3pP3/1P4Q1/P1PB2PP/R4R1K b - - 0 23,Qc7
2r1r1k1/1pq3b1/p1n1p1B1/2p5/3pP2Q/1P6/P1PB2PP/R4R1K b - - 2 24,Bh8
2r1r1kb/1pq2R2/p1n1p1B1/2p5/3pP2Q/1P6/P1PB2PP/R6K b - - 4 25,Qxf7
2r1r1kb/1p3B2/p1n1p3/2p5/3pP2Q/1P6/P1PB2PP/R6K b - - 0 26,Kxf7
2r1r2b/1p3k2/p1n1p3/2p5/3pP2Q/1P6/P1PB2PP/5R1K b - - 1 27,Kg8
2r1r1kb/1p6/p1n1p3/2p3Q1/3pP3/1P6/P1PB2PP/5R1K b - - 3 28,Bg7
2r1r1k1/1p4b1/p1n1p1Q1/2p5/3pP3/1P6/P1PB2PP/5R1K b - - 5 29,Rf8
2r2rk1/1p4b1/p1n1Q3/2p5/3pP3/1P6/P1PB2PP/5R1K b - - 0 30,Kh8
2r2r1k/1p4b1/p1n5/2p5/3pP3/1P5Q/P1PB2PP/5R1K b - - 2 31,Kg8
2r2rk1/1p4b1/p1n1Q3/2p5/3pP3/1P6/P1PB2PP/5R1K b - - 4 32,Kh7
2r2r2/1p4bk/p1n5/2p5/3pP3/1P5Q/P1PB2PP/5R1K b - - 6 33,Bh6
2r2r2/1p5k/p1n4Q/2p5/3pP3/1P6/P1PB2PP/5R1K b - - 0 34,Kg8
2r2rk1/1p6/p1n3Q1/2p5/3pP3/1P6/P1PB2PP/5R1K b - - 2 35,Kh8
2r2R1k/1p6/p1n3Q1/2p5/3pP3/1P6/P1PB2PP/7K b - - 0 36,Rxf8
5r1k/1p6/p1n4Q/2p5/3pP3/1P6/P1PB2PP/7K b - - 1 37,Kg8
5rk1/1p6/p1n3Q1/2p5/3pP3/1P6/P1PB2PP/7K b - - 3 38,Kh8
5r1k/1p6/p1n4Q/2p5/3pP3/1P6/P1PB2PP/7K b - - 5 39,Kg8
5rk1/1p6/p1n3Q1/2p5/3pP3/1P6/P1PB2PP/7K b - - 7 40,Kh8
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Bc4
rnb1kbnr/ppp2ppp/3p1q2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,c3
rn2kbnr/ppp2ppp/3p1q2/4p3/2B1P1b1/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 5,d4
rn2kbnr/ppp2ppp/3p1q2/4p3/2BPP3/2P2b2/PP3PPP/RNBQK2R w KQkq - 0 6,Qxf3
rn2kbnr/ppp2ppp/3p4/4p3/2BPP3/2P2q2/PP3PPP/RNB1K2R w KQkq - 0 7,gxf3
r3kbnr/pppn1ppp/3p4/4p3/2BPP3/2P2P2/PP3P1P/RNB1K2R w KQkq - 1 8,Nd2
r3kbnr/ppp2ppp/1n1p4/4p3/2BPP3/2P2P2/PP1N1P1P/R1B1K2R w KQkq - 3 9,Bb3
r3kbnr/1pp2ppp/1n1p4/p3p3/3PP3/1BP2P2/PP1N1P1P/R1B1K2R w KQkq - 0 10,a3
r3kbnr/1pp2ppp/1n1p4/4p3/p2PP3/PBP2P2/1P1N1P1P/R1B1K2R w KQkq - 0 11,Bc4
r3kbnr/1pp2ppp/3p4/4p3/p1nPP3/P1P2P2/1P1N1P1P/R1B1K2R w KQkq - 0 12,Nxc4
r3kbnr/2p2ppp/1p1p4/4p3/p1NPP3/P1P2P2/1P3P1P/R1B1K2R w KQkq - 0 13,Be3
2kr1bnr/2p2ppp/1p1p4/4p3/p1NPP3/P1P1BP2/1P3P1P/R3K2R w KQ - 2 14,O-O-O
2kr1bnr/2p2ppp/3p4/1p2p3/p1NPP3/P1P1BP2/1P3P1P/2KR3R w - - 0 15,Nd2
3r1bnr/1kp2ppp/3p4/1p2p3/p2PP3/P1P1BP2/1P1N1P1P/2KR3R w - - 2 16,Kb1
3r1b1r/1kp2ppp/3p1n2/1p2p3/p2PP3/P1P1BP2/1P1N1P1P/1K1R3R w - - 4 17,c4
3r1b1r/1kp2ppp/3p1n2/1p6/p1PpP3/P3BP2/1P1N1P1P/1K1R3R w - - 0 18,Bxd4
3r1b1r/1kp2ppp/3p1n2/8/p1pBP3/P4P2/1P1N1P1P/1K1R3R w - - 0 19,Nxc4
3r1b1r/1k3ppp/3p1n2/2p5/p1NBP3/P4P2/1P3P1P/1K1R3R w - - 0 20,Bc3
r4b1r/1k3ppp/3p1n2/2p5/p1N1P3/P1B2P2/1P3P1P/1K1R3R w - - 2 21,Nxd6+
r4b1r/5ppp/2kN1n2/2p5/p3P3/P1B2P2/1P3P1P/1K1R3R w - - 1 22,Nxf7
r4br1/5Npp/2k2n2/2p5/p3P3/P1B2P2/1P3P1P/1K1R3R w - - 1 23,Ne5+
r4br1/2k3pp/5n2/2p1N3/p3P3/P1B2P2/1P3P1P/1K1R3R w - - 3 24,Rhg1
r4br1/2k4p/5np1/2p1N3/p3P3/P1B2P2/1P3P1P/1K1R2R1 w - - 0 25,Rd2
r5r1/2k4p/3b1np1/2p1N3/p3P3/P1B2P2/1P1R1P1P/1K4R1 w - - 2 26,Rgd1
3r2r1/2k4p/3b1np1/2p1N3/p3P3/P1B2P2/1P1R1P1P/1K1R4 w - - 4 27,h3
3r1r2/2k4p/3b1np1/2p1N3/p3P3/P1B2P1P/1P1R1P2/1K1R4 w - - 1 28,Nd3
3r1r2/2k4p/3b2p1/2p4n/p3P3/P1BN1P1P/1P1R1P2/1K1R4 w - - 3 29,Ne1
3r1r2/2k4p/3b2p1/2p5/p3Pn2/P1B2P1P/1P1R1P2/1K1RN3 w - - 5 30,Bg7
3r4/2k2rBp/3b2p1/2p5/p3Pn2/P4P1P/1P1R1P2/1K1RN3 w - - 7 31,Bh6
3r4/2k2r1p/3b2pB/2p5/p3P3/P4P1n/1P1R1P2/1K1RN3 w - - 0 32,Bg5
3r4/2k2r1p/3b2p1/2p3n1/p3P3/P4P2/1P1R1P2/1K1RN3 w - - 0 33,Nd3
3r4/2k2r1p/3b2p1/2p5/p3P3/P2N1n2/1P1R1P2/1K1R4 w - - 0 34,Nc1
3r4/2k2r1p/3b2p1/2p5/p3P3/P7/1P1n1P2/1KNR4 w - - 0 35,Rxd2
5r2/2k2r1p/3b2p1/2p5/p3P3/P7/1P1R1P2/1KN5 w - - 1 36,Rc2
5r2/2k4p/3b2p1/2p5/p3P3/P7/1PR2r2/1KN5 w - - 0 37,Rc3
5r2/2k4p/3b2p1/2p5/p3P3/P1R5/1P6/1KN2r2 w - - 2 38,Ka2
5r2/2k4p/3b2p1/2p5/p3P3/P1R5/KP6/2r5 w - - 0 39,Rxc1
8/2k4p/3b2p1/2p5/p3P3/P7/KP3r2/2R5 w - - 1 40,Re1
8/2k4p/6p1/2p1b3/p3P3/P7/KP3r2/4R3 w - - 3 41,Rb1
8/2k4p/6p1/2p1b3/p3P3/P7/Kr6/1R6 w - - 0 42,Rxb2
8/2k4p/6p1/2p5/p3P3/P7/Kb6/8 w - - 0 43,Kxb2
8/2k5/6p1/2p4p/p3P3/P7/1K6/8 w - - 0 44,Kc3
8/2k5/6p1/2p5/p3P2p/P1K5/8/8 w - - 0 45,Kd3
8/2k5/6p1/2p5/p3P3/P2K3p/8/8 w - - 0 46,Ke2
8/2k5/6p1/2p5/p3P3/P7/4K2p/8 w - - 0 47,Kf2
8/2k5/6p1/2p5/p3P3/P7/5K2/7q w - - 0 48,Ke3
8/2k5/6p1/2p5/p3P3/P3K2q/8/8 w - - 2 49,Kf4
8/2k5/8/2p3p1/p3PK2/P6q/8/8 w - - 0 50,Ke5
8/2k5/8/2p1K3/p3P1p1/P6q/8/8 w - - 0 51,Kf5
8/2k5/8/2p2K2/p3P3/P5pq/8/8 w - - 0 52,Kf6
8/2k5/5K2/2p5/p3P3/P6q/6p1/8 w - - 0 53,e5
8/2k5/5K2/2p1P3/p7/P6q/8/6q1 w - - 0 54,e6
8/2k5/4PK2/2p5/p7/P3q3/8/6q1 w - - 1 55,Kf7
8/2k2K2/4P3/2p5/p7/P3q3/8/4q3 w - - 3 56,Ke7
8/2k1K3/4q3/2p5/p7/P7/8/4q3 w - - 0 57,Kf8
5K2/2k5/4q3/2p5/p7/P7/8/3q4 w - - 2 58,Kg7
8/2kq2K1/4q3/2p5/p7/P7/8/8 w - - 4 59,Kh8
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3
rnbqkbnr/pp2pppp/2p5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,exd5
rnbqkbnr/pp2pppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,d4
rnbqkb1r/pp2pppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 5,c4
rnbqkb1r/pp3ppp/4pn2/3p4/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 6,Nc3
rnbqkb1r/1p3ppp/p3pn2/3p4/2PP4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 7,Be2
rnbqkb1r/1p3ppp/p3pn2/8/2pP4/2N2N2/PP2BPPP/R1BQK2R w KQkq - 0 8,Bxc4
rnbqkb1r/5ppp/p3pn2/1p6/2BP4/2N2N2/PP3PPP/R1BQK2R w KQkq - 0 9,O-O
rnbqkb1r/5ppp/p3pn2/8/2pP4/2N2N2/PP3PPP/R1BQ1RK1 w kq - 0 10,Qa4+
rn1qkb1r/3b1ppp/p3pn2/8/Q1pP4/2N2N2/PP3PPP/R1B2RK1 w kq - 2 11,Qxc4
rn1qk2r/3bbppp/p3pn2/8/2QP4/2N2N2/PP3PPP/R1B2RK1 w kq - 1 12,Bf4
rn1q1rk1/3bbppp/p3pn2/8/2QP1B2/2N2N2/PP3PPP/R4RK1 w - - 3 13,Bxb8
1r1q1rk1/3bbppp/p3pn2/8/2QP4/2N2N2/PP3PPP/R4RK1 w - - 0 14,Qxa6
3q1rk1/3bbppp/Q3pn2/8/3P4/2N2N2/Pr3PPP/R4RK1 w - - 0 15,Qc4
5rk1/3bbppp/1q2pn2/8/2QP4/2N2N2/Pr3PPP/R4RK1 w - - 2 16,Na4
5rk1/4bppp/1q2pn2/8/b1QP4/5N2/Pr3PPP/R4RK1 w - - 0 17,Qxa4
5rk1/4bppp/1q2pn2/8/Qr1P4/5N2/P4PPP/R4RK1 w - - 1 18,Qc2
3r2k1/4bppp/1q2pn2/8/1r1P4/5N2/P1Q2PPP/R4RK1 w - - 3 19,Rad1
3r2k1/4bppp/1q2p3/3n4/1r1P4/5N2/P1Q2PPP/3R1RK1 w - - 5 20,Rfe1
3r2k1/4bppp/1q2p3/3n4/3P4/5N2/PrQ2PPP/3RR1K1 w - - 7 21,Qe4
3r2k1/5ppp/1q2pb2/3n4/3PQ3/5N2/Pr3PPP/3RR1K1 w - - 9 22,Rb1
3r2k1/5ppp/1q2pb2/8/3PQ3/2n2N2/Pr3PPP/1R2R1K1 w - - 11 23,Rxb2
3r2k1/5ppp/4pb2/8/3PQ3/2n2N2/Pq3PPP/4R1K1 w - - 0 24,Qb1
3r2k1/5ppp/4pb2/8/3P4/5N2/Pq3PPP/1n2R1K1 w - - 0 25,Rf1
3r2k1/5ppp/4pb2/8/3P4/5N2/q4PPP/1n3RK1 w - - 0 26,Ne5
3r2k1/5ppp/4p3/4b3/3P4/8/q4PPP/1n3RK1 w - - 0 27,dxe5
3r2k1/5ppp/4p3/4P3/8/2n5/q4PPP/5RK1 w - - 1 28,h3
3r2k1/5ppp/4p3/4P3/8/7P/q3nPP1/5RK1 w - - 1 29,Kh2
3r2k1/5ppp/4p3/4P3/5n2/7P/q4PPK/5R2 w - - 3 30,Kg3
3r2k1/5ppp/4p1n1/4P3/8/6KP/q4PP1/5R2 w - - 5 31,f3
3r2k1/5ppp/4p1n1/4P3/8/5PKP/1q4P1/5R2 w - - 1 32,Rf2
3r2k1/5ppp/4p1n1/4q3/8/5PKP/5RP1/8 w - - 0 33,f4
6k1/5ppp/4p1n1/4q3/5P2/3r2KP/5RP1/8 w - - 1 34,Kh2
6k1/5ppp/4p1n1/8/5P2/3rq2P/5RPK/8 w - - 3 35,g3
6k1/5ppp/4p1n1/8/5P2/3r2qP/5R1K/8 w - - 0 36,Kh1
6k1/5ppp/4p1n1/8/5P2/6qP/5R2/3r3K w - - 2 37,Rf1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c5
rnbqkbnr/pp1ppppp/8/2p5/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,Nc6
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2NP4/PPP2PPP/R1BQKBNR b KQkq - 2 3,g6
r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/2NPB3/PPP2PPP/R2QKBNR b KQkq - 1 4,Bg7
r1bqk1nr/pp1pppbp/2n3p1/2p5/4PP2/2NPB3/PPP3PP/R2QKBNR b KQkq - 0 5,b6
